Год,132ч.3,132ч.4,132ч.5
2010,431.0,340.0,
2011,253.0,545.0,
2012,131.0,384.0,0.0
2013,157.0,748.0,
2014,226.0,863.0,33.0
2015,211.0,1011.0,23.0
2016,222.0,1120.0,39.0
2017,,1189.0,42.0
2018,209.0,1195.0,42.0
2019,212.0,1266.0,44.0
2020,181.0,1048.0,37.0
